module,java_path,java_symbol,csharp_path,csharp_symbol,kind,status,test_evidence,decision_id
common,common/src/main/java/com/softwarearchetypes/common/Pair.java,Pair<T>,common/src/main/csharp/com/softwarearchetypes/common/Pair.cs,Pair<T>,class,DONE,PairTest 9/9 passed,
common,common/src/main/java/com/softwarearchetypes/common/Version.java,Version,common/src/main/csharp/com/softwarearchetypes/common/Version.cs,Version,class,DONE,VersionTest 11/11 passed,
common,common/src/test/java/com/softwarearchetypes/common/PairTest.java,PairTest,common/src/test/csharp/com/softwarearchetypes/common/PairTest.cs,PairTest,test,DONE,9/9 passed,
common,common/src/test/java/com/softwarearchetypes/common/VersionTest.java,VersionTest,common/src/test/csharp/com/softwarearchetypes/common/VersionTest.cs,VersionTest,test,DONE,11/11 passed,
common,common/src/main/java/com/softwarearchetypes/common/Preconditions.java,Preconditions,common/src/main/csharp/com/softwarearchetypes/common/Preconditions.cs,Preconditions,utility,DONE,PreconditionsTest 6/6 passed,
common,common/src/main/java/com/softwarearchetypes/common/StringUtils.java,StringUtils,common/src/main/csharp/com/softwarearchetypes/common/StringUtils.cs,StringUtils,utility,DONE,CommonUtilitiesTest passed,
common,common/src/main/java/com/softwarearchetypes/common/CollectionTransformations.java,CollectionTransformations,common/src/main/csharp/com/softwarearchetypes/common/CollectionTransformations.cs,CollectionTransformations,utility,DONE,CommonUtilitiesTest passed,
common,common/src/test/java/com/softwarearchetypes/common/PreconditionsTest.java,PreconditionsTest,common/src/test/csharp/com/softwarearchetypes/common/PreconditionsTest.cs,PreconditionsTest,test,DONE,6/6 passed,
common,common/src/main/java/com/softwarearchetypes/common/Result.java,"Result<F,S>",common/src/main/csharp/com/softwarearchetypes/common/Result.cs,"Result<F,S>",abstract class,DONE,ResultTest 57/57 passed,D003
common,common/src/main/java/com/softwarearchetypes/common/Result.java,"Result.Success<F,S>",common/src/main/csharp/com/softwarearchetypes/common/Result.cs,"Result.Success<F,S>",nested class,DONE,ResultTest 57/57 passed,D003
common,common/src/main/java/com/softwarearchetypes/common/Result.java,"Result.Failure<F,S>",common/src/main/csharp/com/softwarearchetypes/common/Result.cs,"Result.Failure<F,S>",nested class,DONE,ResultTest 57/57 passed,D003
common,common/src/main/java/com/softwarearchetypes/common/Result.java,"Result.CompositeResult<F,S>",common/src/main/csharp/com/softwarearchetypes/common/Result.cs,"Result.CompositeResult<F,S>",nested class,DONE,ResultTest 57/57 passed,D003
common,common/src/main/java/com/softwarearchetypes/common/Result.java,"Result.CompositeSetResult<F,S>",common/src/main/csharp/com/softwarearchetypes/common/Result.cs,"Result.CompositeSetResult<F,S>",nested class,DONE,ResultTest 57/57 passed,D003
common,common/src/test/java/com/softwarearchetypes/common/ResultTest.java,ResultTest,common/src/test/csharp/com/softwarearchetypes/common/ResultTest.cs,ResultTest,test,DONE,57/57 passed,D003
common,common/src/main/java/com/softwarearchetypes/common/events/PublishedEvent.java,PublishedEvent,common/src/main/csharp/com/softwarearchetypes/common/events/PublishedEvent.cs,PublishedEvent,interface,DONE,InMemoryEventsPublisherTest 4/4 passed,D001
common,common/src/main/java/com/softwarearchetypes/common/events/EventHandler.java,EventHandler,common/src/main/csharp/com/softwarearchetypes/common/events/EventHandler.cs,EventHandler,interface,DONE,InMemoryEventsPublisherTest 4/4 passed,
common,common/src/main/java/com/softwarearchetypes/common/events/EventPublisher.java,EventPublisher,common/src/main/csharp/com/softwarearchetypes/common/events/EventPublisher.cs,EventPublisher,interface,DONE,InMemoryEventsPublisherTest 4/4 passed,
common,common/src/main/java/com/softwarearchetypes/common/events/InMemoryEventsPublisher.java,InMemoryEventsPublisher,common/src/main/csharp/com/softwarearchetypes/common/events/InMemoryEventsPublisher.cs,InMemoryEventsPublisher,class,DONE,InMemoryEventsPublisherTest 4/4 passed,
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/cycles/math/Node.java,Node<T>,graphs/src/main/csharp/com/softwarearchetypes/graphs/cycles/math/Node.cs,Node<T>,record,DONE,Cycles tests 19/19 passed,D005
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/cycles/math/Edge.java,"Edge<T,P>",graphs/src/main/csharp/com/softwarearchetypes/graphs/cycles/math/Edge.cs,"Edge<T,P>",record,DONE,Cycles tests 19/19 passed,D005
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/cycles/math/Path.java,"Path<T,P>",graphs/src/main/csharp/com/softwarearchetypes/graphs/cycles/math/Path.cs,"Path<T,P>",class,DONE,Cycles tests 19/19 passed,D005
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/cycles/math/Graph.java,"Graph<T,P>",graphs/src/main/csharp/com/softwarearchetypes/graphs/cycles/math/Graph.cs,"Graph<T,P>",class,DONE,Cycles tests 19/19 passed,D005
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/cycles/SlotId.java,SlotId,graphs/src/main/csharp/com/softwarearchetypes/graphs/cycles/SlotId.cs,SlotId,record,DONE,Cycles tests 19/19 passed,
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/cycles/OwnerId.java,OwnerId,graphs/src/main/csharp/com/softwarearchetypes/graphs/cycles/OwnerId.cs,OwnerId,record,DONE,Cycles tests 19/19 passed,
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/cycles/ReservationChangeRequest.java,ReservationChangeRequest,graphs/src/main/csharp/com/softwarearchetypes/graphs/cycles/ReservationChangeRequest.cs,ReservationChangeRequest,record,DONE,Cycles tests 19/19 passed,
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/cycles/BatchReservationResult.java,BatchReservationResult,graphs/src/main/csharp/com/softwarearchetypes/graphs/cycles/BatchReservationResult.cs,BatchReservationResult,record,DONE,Cycles tests 19/19 passed,
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/cycles/BatchReservationResult.java,BatchReservationResult.Status,graphs/src/main/csharp/com/softwarearchetypes/graphs/cycles/BatchReservationResult.cs,BatchReservationResult.Status,nested enum,DONE,Cycles tests 19/19 passed,
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/cycles/Eligibility.java,Eligibility,graphs/src/main/csharp/com/softwarearchetypes/graphs/cycles/Eligibility.cs,Eligibility,class,DONE,Cycles tests 19/19 passed,D005
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/cycles/Slot.java,Slot,graphs/src/main/csharp/com/softwarearchetypes/graphs/cycles/Slot.cs,Slot,class,DONE,Cycles tests 19/19 passed,
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/cycles/SlotRepository.java,SlotRepository,graphs/src/main/csharp/com/softwarearchetypes/graphs/cycles/SlotRepository.cs,SlotRepository,interface,DONE,Cycles tests 19/19 passed,
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/cycles/SlotRepository.java,InMemorySlotRepository,graphs/src/main/csharp/com/softwarearchetypes/graphs/cycles/SlotRepository.cs,InMemorySlotRepository,class,DONE,Cycles tests 19/19 passed,
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/cycles/BatchReservationUseCase.java,BatchReservationUseCase,graphs/src/main/csharp/com/softwarearchetypes/graphs/cycles/BatchReservationUseCase.cs,BatchReservationUseCase,class,DONE,Cycles tests 19/19 passed,D005
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/scheduling/DependencyType.java,DependencyType,graphs/src/main/csharp/com/softwarearchetypes/graphs/scheduling/DependencyType.cs,DependencyType,record,DONE,ScheduleTest 5/5 passed,D005
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/scheduling/ProcessStep.java,ProcessStep,graphs/src/main/csharp/com/softwarearchetypes/graphs/scheduling/ProcessStep.cs,ProcessStep,record,DONE,ScheduleTest 5/5 passed,
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/scheduling/Schedule.java,Schedule,graphs/src/main/csharp/com/softwarearchetypes/graphs/scheduling/Schedule.cs,Schedule,record,DONE,ScheduleTest 5/5 passed,D005
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/scheduling/Process.java,Process,graphs/src/main/csharp/com/softwarearchetypes/graphs/scheduling/Process.cs,Process,class,DONE,ScheduleTest 5/5 passed,D005
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/scheduling/Process.java,Process.Builder,graphs/src/main/csharp/com/softwarearchetypes/graphs/scheduling/Process.cs,Process.Builder,nested class,DONE,ScheduleTest 5/5 passed,D005
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/scheduling/Process.java,Process.EdgeKey,graphs/src/main/csharp/com/softwarearchetypes/graphs/scheduling/Process.cs,Process.EdgeKey,nested record,DONE,ScheduleTest 5/5 passed,D005
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/scheduling/concurrency/Concurrency.java,Concurrency,graphs/src/main/csharp/com/softwarearchetypes/graphs/scheduling/concurrency/Concurrency.cs,Concurrency,class,DONE,ConcurrencyTest 4/4 passed,D005
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/scheduling/concurrency/Concurrency.java,Concurrency.Builder,graphs/src/main/csharp/com/softwarearchetypes/graphs/scheduling/concurrency/Concurrency.cs,Concurrency.Builder,nested class,DONE,ConcurrencyTest 4/4 passed,D005
